Section,Day,Time,TimeSlot,Subject,SubjectName,Teacher,TeacherName,Room,RoomType,ActivityType,Scheme,WeeklyHours,BlockLocation
SEC01,Thu,10:11,Thu_10_11,A003,"Eng.",T103,"Prof_D",Block-17-Room-02,Classroom,THEORY,A,2,campus-17-class
SEC01,Thu,11:12,Thu_11_12,A006,"BEE",T111,"Prof_L",Block-17-Room-02,Classroom,THEORY,A,2,campus-17-class
SEC01,Thu,12:01,Thu_12_01,A010,"SY",T100,"Prof_A",Block-B-Lab-08,Lab,LAB,A,1,b-wl-lab
SEC01,Thu,02:03,Thu_02_03,A004,"B. Etc.",T106,"Prof_G",Block-17-Room-02,Classroom,THEORY,A,2,campus-17-class
SEC01,Thu,03:04,Thu_03_04,A005,"E.Mech",T107,"Prof_H",Block-17-Room-02,Classroom,THEORY,A,2,campus-17-class
SEC01,Fri,10:11,Fri_10_11,A007,"  BEtc ./E.Mech. Lab",T100,"Prof_A",Block-B-Lab-01,Lab,LAB,A,1,b-wl-lab
SEC02,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-03,Multi-Purpose,Elective,A,2,campus-17-class
SEC02,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-03,Multi-Purpose,Elective,A,2,campus-17-class
SEC02,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-03,Multi-Purpose,Elective,A,2,campus-17-class
SEC02,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-03,Multi-Purpose,Elective,A,2,campus-17-class
SEC02,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-03,Multi-Purpose,Elective,A,2,campus-17-class
SEC02,Mon,10:11,Mon_10_11,A006,"BEE",T112,"Prof_M",Block-17-Room-03,Classroom,THEORY,A,2,campus-17-class
SEC02,Mon,11:12,Mon_11_12,A001,"T&NM",T130,"Prof_BE",Block-17-Room-03,Classroom,THEORY,A,4,campus-17-class
SEC02,Mon,12:01,Mon_12_01,A002,"Chem",T105,"Prof_F",Block-17-Room-03,Classroom,THEORY,A,3,campus-17-class
SEC02,Mon,02:03,Mon_02_03,A005,"E.Mech",T133,"Prof_BH",Block-17-Room-03,Classroom,THEORY,A,2,campus-17-class
SEC02,Mon,03:04,Mon_03_04,A005,"E.Mech",T104,"Prof_E",Block-17-Room-03,Classroom,THEORY,A,2,campus-17-class
SEC02,Tue,10:11,Tue_10_11,A002,"Chem",T105,"Prof_F",Block-17-Room-03,Classroom,THEORY,A,3,campus-17-class
SEC02,Tue,11:12,Tue_11_12,A003,"Eng.",T101,"Prof_B",Block-17-Room-03,Classroom,THEORY,A,2,campus-17-class
SEC02,Tue,12:01,Tue_12_01,A001,"T&NM",T162,"Prof_CK",Block-17-Room-03,Classroom,THEORY,A,4,campus-17-class
SEC02,Tue,02:03,Tue_02_03,A004,"B. Etc.",T128,"Prof_BC",Block-17-Room-03,Classroom,THEORY,A,2,campus-17-class
SEC02,Tue,03:04,Tue_03_04,A012,"Chem. Lab",T122,"Prof_W",Block-C-Lab-10,Lab,LAB,A,1,c-wl-lab
SEC02,Wed,10:11,Wed_10_11,A008,"Engg. Lab",T159,"Prof_CH",Block-C-Lab-01,Lab,LAB,A,1,c-wl-lab
SEC02,Wed,11:12,Wed_11_12,A002,"Chem",T121,"Prof_V",Block-17-Room-03,Classroom,THEORY,A,3,campus-17-class
SEC02,Wed,12:01,Wed_12_01,A001,"T&NM",T112,"Prof_M",Block-17-Room-03,Classroom,THEORY,A,4,campus-17-class
SEC02,Wed,02:03,Wed_02_03,A001,"T&NM",T112,"Prof_M",Block-17-Room-03,Classroom,THEORY,A,4,campus-17-class
SEC02,Wed,03:04,Wed_03_04,A003,"Eng.",T102,"Prof_C",Block-17-Room-03,Classroom,THEORY,A,2,campus-17-class
SEC02,Thu,10:11,Thu_10_11,A010,"SY",T107,"Prof_H",Block-C-Lab-06,Lab,LAB,A,1,c-wl-lab
SEC02,Thu,11:12,Thu_11_12,A009,"Workshop",T108,"Prof_I",Block-C-Lab-07,Lab,LAB,A,1,c-wl-lab
SEC02,Thu,12:01,Thu_12_01,A004,"B. Etc.",T102,"Prof_C",Block-17-Room-03,Classroom,THEORY,A,2,campus-17-class
SEC02,Thu,02:03,Thu_02_03,A011,"Comm. Lab",T103,"Prof_D",Block-C-Lab-09,Lab,LAB,A,1,c-wl-lab
SEC02,Thu,03:04,Thu_03_04,A007,"  BEtc ./E.Mech. Lab",T121,"Prof_V",Block-C-Lab-10,Lab,LAB,A,1,c-wl-lab
SEC02,Fri,10:11,Fri_10_11,A006,"BEE",T113,"Prof_N",Block-17-Room-03,Classroom,THEORY,A,2,campus-17-class
SEC03,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-04,Multi-Purpose,Elective,A,2,campus-17-class
SEC03,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-04,Multi-Purpose,Elective,A,2,campus-17-class
SEC03,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-04,Multi-Purpose,Elective,A,2,campus-17-class
SEC03,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-04,Multi-Purpose,Elective,A,2,campus-17-class
SEC03,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-04,Multi-Purpose,Elective,A,2,campus-17-class
SEC03,Mon,10:11,Mon_10_11,A001,"T&NM",T126,"Prof_BA",Block-17-Room-04,Classroom,THEORY,A,4,campus-17-class
SEC03,Mon,11:12,Mon_11_12,A010,"SY",T100,"Prof_A",Block-LAB-Lab-02,Lab,LAB,A,1,lab-cam-3-lab
SEC03,Mon,12:01,Mon_12_01,A011,"Comm. Lab",T134,"Prof_BI",Block-LAB-Lab-03,Lab,LAB,A,1,lab-cam-3-lab
SEC03,Mon,02:03,Mon_02_03,A002,"Chem",T127,"Prof_BB",Block-17-Room-04,Classroom,THEORY,A,3,campus-17-class
SEC03,Mon,03:04,Mon_03_04,A006,"BEE",T102,"Prof_C",Block-17-Room-04,Classroom,THEORY,A,2,campus-17-class
SEC03,Tue,10:11,Tue_10_11,A002,"Chem",T106,"Prof_G",Block-17-Room-04,Classroom,THEORY,A,3,campus-17-class
SEC03,Tue,11:12,Tue_11_12,A006,"BEE",T111,"Prof_L",Block-17-Room-04,Classroom,THEORY,A,2,campus-17-class
SEC03,Tue,12:01,Tue_12_01,A004,"B. Etc.",T106,"Prof_G",Block-17-Room-04,Classroom,THEORY,A,2,campus-17-class
SEC03,Tue,02:03,Tue_02_03,A002,"Chem",T129,"Prof_BD",Block-17-Room-04,Classroom,THEORY,A,3,campus-17-class
SEC03,Tue,03:04,Tue_03_04,A001,"T&NM",T108,"Prof_I",Block-17-Room-04,Classroom,THEORY,A,4,campus-17-class
SEC03,Wed,10:11,Wed_10_11,A012,"Chem. Lab",T103,"Prof_D",Block-LAB-Lab-01,Lab,LAB,A,1,lab-cam-3-lab
SEC03,Wed,11:12,Wed_11_12,A003,"Eng.",T131,"Prof_BF",Block-17-Room-04,Classroom,THEORY,A,2,campus-17-class
SEC03,Wed,12:01,Wed_12_01,A001,"T&NM",T129,"Prof_BD",Block-17-Room-04,Classroom,THEORY,A,4,campus-17-class
SEC03,Wed,02:03,Wed_02_03,A008,"Engg. Lab",T116,"Prof_Q",Block-LAB-Lab-04,Lab,LAB,A,1,lab-cam-3-lab
SEC03,Wed,03:04,Wed_03_04,A005,"E.Mech",T146,"Prof_BU",Block-17-Room-04,Classroom,THEORY,A,2,campus-17-class
SEC03,Thu,10:11,Thu_10_11,A005,"E.Mech",T131,"Prof_BF",Block-17-Room-04,Classroom,THEORY,A,2,campus-17-class
SEC03,Thu,11:12,Thu_11_12,A001,"T&NM",T126,"Prof_BA",Block-17-Room-04,Classroom,THEORY,A,4,campus-17-class
SEC03,Thu,12:01,Thu_12_01,A004,"B. Etc.",T109,"Prof_J",Block-17-Room-04,Classroom,THEORY,A,2,campus-17-class
SEC03,Thu,02:03,Thu_02_03,A007,"  BEtc ./E.Mech. Lab",T109,"Prof_J",Block-LAB-Lab-09,Lab,LAB,A,1,lab-cam-3-lab
SEC03,Thu,03:04,Thu_03_04,A009,"Workshop",T137,"Prof_BL",Block-LAB-Lab-10,Lab,LAB,A,1,lab-cam-3-lab
SEC03,Fri,10:11,Fri_10_11,A003,"Eng.",T101,"Prof_B",Block-17-Room-04,Classroom,THEORY,A,2,campus-17-class
SEC04,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-05,Multi-Purpose,Elective,A,2,campus-17-class
SEC04,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-05,Multi-Purpose,Elective,A,2,campus-17-class
SEC04,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-05,Multi-Purpose,Elective,A,2,campus-17-class
SEC04,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-05,Multi-Purpose,Elective,A,2,campus-17-class
SEC04,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-05,Multi-Purpose,Elective,A,2,campus-17-class
SEC04,Mon,10:11,Mon_10_11,A010,"SY",T101,"Prof_B",Block-A-Lab-01,Lab,LAB,A,1,a-dl-lab
SEC04,Mon,11:12,Mon_11_12,A002,"Chem",T106,"Prof_G",Block-17-Room-05,Classroom,THEORY,A,3,campus-17-class
SEC04,Mon,12:01,Mon_12_01,A011,"Comm. Lab",T180,"Prof_DC",Block-A-Lab-03,Lab,LAB,A,1,a-dl-lab
SEC04,Mon,02:03,Mon_02_03,A001,"T&NM",T128,"Prof_BC",Block-17-Room-05,Classroom,THEORY,A,4,campus-17-class
SEC04,Mon,03:04,Mon_03_04,A006,"BEE",T113,"Prof_N",Block-17-Room-05,Classroom,THEORY,A,2,campus-17-class
SEC04,Tue,10:11,Tue_10_11,A012,"Chem. Lab",T103,"Prof_D",Block-A-Lab-06,Lab,LAB,A,1,a-dl-lab
SEC04,Tue,11:12,Tue_11_12,A007,"  BEtc ./E.Mech. Lab",T100,"Prof_A",Block-A-Lab-07,Lab,LAB,A,1,a-dl-lab
SEC04,Tue,12:01,Tue_12_01,A004,"B. Etc.",T136,"Prof_BK",Block-17-Room-05,Classroom,THEORY,A,2,campus-17-class
SEC04,Tue,02:03,Tue_02_03,A002,"Chem",T136,"Prof_BK",Block-17-Room-05,Classroom,THEORY,A,3,campus-17-class
SEC04,Tue,03:04,Tue_03_04,A005,"E.Mech",T104,"Prof_E",Block-17-Room-05,Classroom,THEORY,A,2,campus-17-class
SEC04,Wed,10:11,Wed_10_11,A003,"Eng.",T101,"Prof_B",Block-17-Room-05,Classroom,THEORY,A,2,campus-17-class
SEC04,Wed,11:12,Wed_11_12,A002,"Chem",T129,"Prof_BD",Block-17-Room-05,Classroom,THEORY,A,3,campus-17-class
SEC04,Wed,12:01,Wed_12_01,A001,"T&NM",T161,"Prof_CJ",Block-17-Room-05,Classroom,THEORY,A,4,campus-17-class
SEC04,Wed,02:03,Wed_02_03,A006,"BEE",T102,"Prof_C",Block-17-Room-05,Classroom,THEORY,A,2,campus-17-class
SEC04,Wed,03:04,Wed_03_04,A005,"E.Mech",T148,"Prof_BW",Block-17-Room-05,Classroom,THEORY,A,2,campus-17-class
SEC04,Thu,10:11,Thu_10_11,A009,"Workshop",T108,"Prof_I",Block-A-Lab-06,Lab,LAB,A,1,a-dl-lab
SEC04,Thu,11:12,Thu_11_12,A003,"Eng.",T107,"Prof_H",Block-17-Room-05,Classroom,THEORY,A,2,campus-17-class
SEC04,Thu,12:01,Thu_12_01,A001,"T&NM",T117,"Prof_R",Block-17-Room-05,Classroom,THEORY,A,4,campus-17-class
SEC04,Thu,02:03,Thu_02_03,A008,"Engg. Lab",T116,"Prof_Q",Block-A-Lab-09,Lab,LAB,A,1,a-dl-lab
SEC04,Thu,03:04,Thu_03_04,A001,"T&NM",T142,"Prof_BQ",Block-17-Room-05,Classroom,THEORY,A,4,campus-17-class
SEC04,Fri,10:11,Fri_10_11,A004,"B. Etc.",T115,"Prof_P",Block-17-Room-05,Classroom,THEORY,A,2,campus-17-class
SEC05,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-06,Multi-Purpose,Elective,A,2,campus-17-class
SEC05,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-06,Multi-Purpose,Elective,A,2,campus-17-class
SEC05,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-06,Multi-Purpose,Elective,A,2,campus-17-class
SEC05,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-06,Multi-Purpose,Elective,A,2,campus-17-class
SEC05,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-06,Multi-Purpose,Elective,A,2,campus-17-class
SEC05,Mon,10:11,Mon_10_11,A010,"SY",T118,"Prof_S",Block-B-Lab-01,Lab,LAB,A,1,b-wl-lab
SEC05,Mon,11:12,Mon_11_12,A004,"B. Etc.",T155,"Prof_CD",Block-17-Room-06,Classroom,THEORY,A,2,campus-17-class
SEC05,Mon,12:01,Mon_12_01,A002,"Chem",T106,"Prof_G",Block-17-Room-06,Classroom,THEORY,A,3,campus-17-class
SEC05,Mon,02:03,Mon_02_03,A007,"  BEtc ./E.Mech. Lab",T125,"Prof_Z",Block-B-Lab-04,Lab,LAB,A,1,b-wl-lab
SEC05,Mon,03:04,Mon_03_04,A005,"E.Mech",T141,"Prof_BP",Block-17-Room-06,Classroom,THEORY,A,2,campus-17-class
SEC05,Tue,10:11,Tue_10_11,A012,"Chem. Lab",T130,"Prof_BE",Block-B-Lab-06,Lab,LAB,A,1,b-wl-lab
SEC05,Tue,11:12,Tue_11_12,A006,"BEE",T113,"Prof_N",Block-17-Room-06,Classroom,THEORY,A,2,campus-17-class
SEC05,Tue,12:01,Tue_12_01,A008,"Engg. Lab",T104,"Prof_E",Block-B-Lab-08,Lab,LAB,A,1,b-wl-lab
SEC05,Tue,02:03,Tue_02_03,A001,"T&NM",T108,"Prof_I",Block-17-Room-06,Classroom,THEORY,A,4,campus-17-class
SEC05,Tue,03:04,Tue_03_04,A003,"Eng.",T124,"Prof_Y",Block-17-Room-06,Classroom,THEORY,A,2,campus-17-class
SEC05,Wed,10:11,Wed_10_11,A003,"Eng.",T146,"Prof_BU",Block-17-Room-06,Classroom,THEORY,A,2,campus-17-class
SEC05,Wed,11:12,Wed_11_12,A009,"Workshop",T104,"Prof_E",Block-B-Lab-02,Lab,LAB,A,1,b-wl-lab
SEC05,Wed,12:01,Wed_12_01,A001,"T&NM",T175,"Prof_CX",Block-17-Room-06,Classroom,THEORY,A,4,campus-17-class
SEC05,Wed,02:03,Wed_02_03,A002,"Chem",T101,"Prof_B",Block-17-Room-06,Classroom,THEORY,A,3,campus-17-class
SEC05,Wed,03:04,Wed_03_04,A001,"T&NM",T117,"Prof_R",Block-17-Room-06,Classroom,THEORY,A,4,campus-17-class
SEC05,Thu,10:11,Thu_10_11,A006,"BEE",T112,"Prof_M",Block-17-Room-06,Classroom,THEORY,A,2,campus-17-class
SEC05,Thu,11:12,Thu_11_12,A011,"Comm. Lab",T148,"Prof_BW",Block-B-Lab-07,Lab,LAB,A,1,b-wl-lab
SEC05,Thu,12:01,Thu_12_01,A004,"B. Etc.",T115,"Prof_P",Block-17-Room-06,Classroom,THEORY,A,2,campus-17-class
SEC05,Thu,02:03,Thu_02_03,A001,"T&NM",T108,"Prof_I",Block-17-Room-06,Classroom,THEORY,A,4,campus-17-class
SEC05,Thu,03:04,Thu_03_04,A005,"E.Mech",T131,"Prof_BF",Block-17-Room-06,Classroom,THEORY,A,2,campus-17-class
SEC05,Fri,10:11,Fri_10_11,A002,"Chem",T105,"Prof_F",Block-17-Room-06,Classroom,THEORY,A,3,campus-17-class
SEC06,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-07,Multi-Purpose,Elective,A,2,campus-17-class
SEC06,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-07,Multi-Purpose,Elective,A,2,campus-17-class
SEC06,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-07,Multi-Purpose,Elective,A,2,campus-17-class
SEC06,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-07,Multi-Purpose,Elective,A,2,campus-17-class
SEC06,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-07,Multi-Purpose,Elective,A,2,campus-17-class
SEC06,Mon,10:11,Mon_10_11,A001,"T&NM",T128,"Prof_BC",Block-17-Room-07,Classroom,THEORY,A,4,campus-17-class
SEC06,Mon,11:12,Mon_11_12,A008,"Engg. Lab",T104,"Prof_E",Block-C-Lab-02,Lab,LAB,A,1,c-wl-lab
SEC06,Mon,12:01,Mon_12_01,A001,"T&NM",T117,"Prof_R",Block-17-Room-07,Classroom,THEORY,A,4,campus-17-class
SEC06,Mon,02:03,Mon_02_03,A011,"Comm. Lab",T111,"Prof_L",Block-C-Lab-04,Lab,LAB,A,1,c-wl-lab
SEC06,Mon,03:04,Mon_03_04,A004,"B. Etc.",T136,"Prof_BK",Block-17-Room-07,Classroom,THEORY,A,2,campus-17-class
SEC06,Tue,10:11,Tue_10_11,A003,"Eng.",T114,"Prof_O",Block-17-Room-07,Classroom,THEORY,A,2,campus-17-class
SEC06,Tue,11:12,Tue_11_12,A006,"BEE",T132,"Prof_BG",Block-17-Room-07,Classroom,THEORY,A,2,campus-17-class
SEC06,Tue,12:01,Tue_12_01,A002,"Chem",T100,"Prof_A",Block-17-Room-07,Classroom,THEORY,A,3,campus-17-class
SEC06,Tue,02:03,Tue_02_03,A005,"E.Mech",T131,"Prof_BF",Block-17-Room-07,Classroom,THEORY,A,2,campus-17-class
SEC06,Tue,03:04,Tue_03_04,A002,"Chem",T106,"Prof_G",Block-17-Room-07,Classroom,THEORY,A,3,campus-17-class
SEC06,Wed,10:11,Wed_10_11,A012,"Chem. Lab",T115,"Prof_P",Block-C-Lab-01,Lab,LAB,A,1,c-wl-lab
SEC06,Wed,11:12,Wed_11_12,A006,"BEE",T113,"Prof_N",Block-17-Room-07,Classroom,THEORY,A,2,campus-17-class
SEC06,Wed,12:01,Wed_12_01,A002,"Chem",T106,"Prof_G",Block-17-Room-07,Classroom,THEORY,A,3,campus-17-class
SEC06,Wed,02:03,Wed_02_03,A007,"  BEtc ./E.Mech. Lab",T122,"Prof_W",Block-C-Lab-04,Lab,LAB,A,1,c-wl-lab
SEC06,Wed,03:04,Wed_03_04,A003,"Eng.",T170,"Prof_CS",Block-17-Room-07,Classroom,THEORY,A,2,campus-17-class
SEC06,Thu,10:11,Thu_10_11,A004,"B. Etc.",T115,"Prof_P",Block-17-Room-07,Classroom,THEORY,A,2,campus-17-class
SEC06,Thu,11:12,Thu_11_12,A001,"T&NM",T129,"Prof_BD",Block-17-Room-07,Classroom,THEORY,A,4,campus-17-class
SEC06,Thu,12:01,Thu_12_01,A009,"Workshop",T123,"Prof_X",Block-C-Lab-08,Lab,LAB,A,1,c-wl-lab
SEC06,Thu,02:03,Thu_02_03,A005,"E.Mech",T107,"Prof_H",Block-17-Room-07,Classroom,THEORY,A,2,campus-17-class
SEC06,Thu,03:04,Thu_03_04,A010,"SY",T118,"Prof_S",Block-C-Lab-10,Lab,LAB,A,1,c-wl-lab
SEC06,Fri,10:11,Fri_10_11,A001,"T&NM",T129,"Prof_BD",Block-17-Room-07,Classroom,THEORY,A,4,campus-17-class
SEC07,Mon,09:10,Mon_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-08,Multi-Purpose,Elective,A,2,campus-17-class
SEC07,Tue,09:10,Tue_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-08,Multi-Purpose,Elective,A,2,campus-17-class
SEC07,Wed,09:10,Wed_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-08,Multi-Purpose,Elective,A,2,campus-17-class
SEC07,Thu,09:10,Thu_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-08,Multi-Purpose,Elective,A,2,campus-17-class
SEC07,Fri,09:10,Fri_09_10,ELECTIVE,"Elective",ELT_COORD_A,"Elective Coordinator A",Block-17-Multi-08,Multi-Purpose,Elective,A,2,campus-17-class
SEC07,Mon,10:11,Mon_10_11,A010,"SY",T135,"Prof_BJ",Block-LAB-Lab-01,Lab,LAB,A,1,lab-cam-3-lab
SEC07,Mon,11:12,Mon_11_12,A006,"BEE",T120,"Prof_U",Block-17-Room-08,Classroom,THEORY,A,2,campus-17-class
SEC07,Mon,12:01,Mon_12_01,A002,"Chem",T123,"Prof_X",Block-17-Room-08,Classroom,THEORY,A,3,campus-17-class
SEC07,Mon,02:03,Mon_02_03,A002,"Chem",T135,"Prof_BJ",Block-17-Room-08,Classroom,THEORY,A,3,campus-17-class
SEC07,Mon,03:04,Mon_03_04,A001,"T&NM",T108,"Prof_I",Block-17-Room-08,Classroom,THEORY,A,4,campus-17-class
SEC07,Tue,10:11,Tue_10_11,A005,"E.Mech",T133,"Prof_BH",Block-17-Room-08,Classroom,THEORY,A,2,campus-17-class
SEC07,Tue,11:12,Tue_11_12,A001,"T&NM",T126,"Prof_BA",Block-17-Room-08,Classroom,THEORY,A,4,campus-17-class
SEC07,Tue,12:01,Tue_12_01,A005,"E.Mech",T141,"Prof_BP",Block-17-Room-08,Classroom,THEORY,A,2,campus-17-class
SEC07,Tue,02:03,Tue_02_03,A001,"T&NM",T130,"Prof_BE",Block-17-Room-08,Classroom,THEORY,A,4,campus-17-class
SEC07,Tue,03:04,Tue_03_04,A012,"Chem. Lab",T173,"Prof_CV",Block-LAB-Lab-10,Lab,LAB,A,1,lab-cam-3-lab
SEC07,Wed,10:11,Wed_10_11,A011,"Comm. Lab",T112,"Prof_M",Block-LAB-Lab-01,Lab,LAB,A,1,lab-cam-3-lab
SEC07,Wed,11:12,Wed_11_12,A004,"B. Etc.",T155,"Prof_CD",Block-17-Room-08,Classroom,THEORY,A,2,campus-17-class
SEC07,Wed,12:01,Wed_12_01,A009,"Workshop",T104,"Prof_E",Block-LAB-Lab-03,Lab,LAB,A,1,lab-cam-3-lab
SEC07,Wed,02:03,Wed_02_03,A002,"Chem",T105,"Prof_F",Block-17-Room-08,Classroom,THEORY,A,3,campus-17-class
SEC07,Wed,03:04,Wed_03_04,A003,"Eng.",T171,"Prof_CT",Block-17-Room-08,Classroom,THEORY,A,2,campus-17-class
SEC07,Thu,10:11,Thu_10_11,A001,"T&NM",T117,"Prof_R",Block-17-Room-08,Classroom,THEORY,A,4,campus-17-class
SEC07,Thu,11:12,Thu_11_12,A003,"Eng.",T131,"Prof_BF",Block-17-Room-08,Classroom,THEORY,A,2,campus-17-class
SEC07,Thu,12:01,Thu_12_01,A006,"BEE",T132,"Prof_BG",Block-17-Room-08,Classroom,THEORY,A,2,campus-17-class
SEC07,Thu,02:03,Thu_02_03,A008,"Engg. Lab",T162,"Prof_CK",Block-LAB-Lab-09,Lab,LAB,A,1,lab-cam-3-lab
SEC07,Thu,03:04,Thu_03_04,A004,"B. Etc.",T102,"Prof_C",Block-17-Room-08,Classroom,THEORY,A,2,campus-17-class
SEC07,Fri,10:11,Fri_10_11,A007,"  BEtc ./E.Mech. Lab",T122,"Prof_W",Block-LAB-Lab-01,Lab,LAB,A,1,lab-cam-3-lab
